Skills hard to obtain from applicants,Sector,Number,Percentage 
Technical writing,Business Services,5216,24
Technical writing,Public admin.,378,34
Technical writing,Education,1062,26
Technical writing,Health & Social Work,3534,33
Technical writing,Arts & Other Services,1230,19
Equipment Adaption,Primary Sector & Utilities,670,21
Equipment Adaption,Manufacturing,2628,35
Equipment Adaption,Construction,2561,34
Equipment Adaption,Wholesale & Retail,5094,32
Equipment Adaption,Hotels & Restaurants,3055,25
Equipment Adaption,Transport & Storage,796,23
Equipment Adaption,Information & Communications,832,19
Equipment Adaption,Financial Services,120,7
Equipment Adaption,Business Services,4550,21
Equipment Adaption,Public admin.,272,24
Equipment Adaption,Education,662,16
Equipment Adaption,Health & Social Work,1596,15
Equipment Adaption,Arts & Other Services,1301,20
Manual dexterity,Primary Sector & Utilities,1201,38
Manual dexterity,Manufacturing,2750,37
Manual dexterity,Construction,2753,36
Manual dexterity,Wholesale & Retail,4704,30
Manual dexterity,Hotels & Restaurants,2458,20
Manual dexterity,Transport & Storage,592,17
Manual dexterity,Information & Communications,489,11
Manual dexterity,Financial Services,15,1
Manual dexterity,Business Services,3246,15
Manual dexterity,Public admin.,125,11
Manual dexterity,Education,344,9
Manual dexterity,Health & Social Work,962,9
Manual dexterity,Arts & Other Services,1245,20
Advanced IT skills,Primary Sector & Utilities,483,15
Advanced IT skills,Manufacturing,1584,21
Advanced IT skills,Construction,1775,23
Advanced IT skills,Wholesale & Retail,3015,19
Advanced IT skills,Hotels & Restaurants,1126,9
Advanced IT skills,Transport & Storage,407,12
Advanced IT skills,Information & Communications,2754,63
Advanced IT skills,Financial Services,464,27
Advanced IT skills,Business Services,5672,26
Advanced IT skills,Public admin.,298,27
Advanced IT skills,Education,736,18
Advanced IT skills,Health & Social Work,1873,18
Advanced IT skills,Arts & Other Services,590,9
Operational Skills,Primary Sector & Utilities,1533,48
Operational Skills,Manufacturing,3820,51
Operational Skills,Construction,3952,52
Operational Skills,Wholesale & Retail,8674,55
Operational Skills,Hotels & Restaurants,6910,56
Operational Skills,Transport & Storage,1498,43
Operational Skills,Information & Communications,2312,53
Operational Skills,Financial Services,1072,63
Operational Skills,Business Services,11061,50
Operational Skills,Public admin.,555,50
Operational Skills,Education,1820,45
Operational Skills,Health & Social Work,4855,46
Operational Skills,Arts & Other Services,3159,50
